"locus_tag","gene_name","function","logFC","logCPM","PValue","q.value"
"BW25113_0001","thrL","thr operon leader peptide",-0.329197993979972,4.87430504293473,0.457391865409913,0.727292278735248
"BW25113_0002","thrA","Bifunctional aspartokinase/homoserine dehydrogenase 1",-0.166026380918322,9.08951760059048,0.220937671626601,0.502947545166246
"BW25113_0003","thrB","homoserine kinase",0.132237496748868,7.63378503295718,0.457822284283897,0.727292278735248
"BW25113_0004","thrC","L-threonine synthase",0.100702129057441,8.12646697642459,0.552009133258067,0.790859604091796
"BW25113_0005","yaaX","DUF2502 family putative periplasmic protein",-0.268293984641259,5.73468806169709,0.457117442960802,0.727292278735248
"BW25113_0006","yaaA","peroxide resistance protein, lowers intracellular iron",-0.317861606946413,7.628137520622,0.0803669441280974,0.266304666933341
"BW25113_0007","yaaJ","putative transporter",-0.152232297842438,8.36566470943221,0.328209136024516,0.621886656407776
"BW25113_0008","talB","transaldolase B",-0.154632499730119,8.50689208884502,0.27843126514348,0.569385242472963
"BW25113_0009","mog","molybdochelatase incorporating molybdenum into molybdopterin",-0.000393553611396407,7.43240153584013,1,1
"BW25113_0010","satP","succinate-acetate transporter",-0.15227154238369,7.24858500627023,0.463184468738372,0.732425622208317
"BW25113_0011","yaaW","UPF0174 family protein",-0.384592277783774,7.04742553606673,0.100056907410007,0.307619204221181
"BW25113_0013","yaaI","UPF0412 family protein",-0.720553994101608,7.02151006925285,0.00113333697895342,0.00739214801580267
"BW25113_0014","dnaK","chaperone Hsp70, with co-chaperone DnaJ",0.00628557532949308,4.3608001878105,0.999999999999999,1
"BW25113_0015","dnaJ","chaperone Hsp40, DnaK co-chaperone",-0.792488519230003,7.71378471457624,7.49648391479952e-06,6.3883080317422e-05
"BW25113_0018","mokC","regulatory protein for HokC, overlaps CDS of hokC",-0.341148182476749,7.75042285997825,0.0624066036851009,0.220435651144331
"BW25113_4412","hokC","toxic membrane protein, small",-0.53073640729958,6.18667761973779,0.128833392237802,0.363590279029651
"BW25113_4413","sokC","",-0.430484438525842,6.1804733822712,0.178942587112553,0.446408684668534
"BW25113_0019","nhaA","sodium-proton antiporter",-0.581589934377776,7.01418786475042,0.0112016030132453,0.0568050243362503
"BW25113_0020","nhaR","transcriptional activator of nhaA",-0.460466892684259,7.98691709555852,0.00412352186427347,0.0239825010503739
"BW25113_0024","yaaY","uncharacterized protein",-0.739179361233374,5.23306312051124,0.0736159867330656,0.249632065738423
"BW25113_0028","fkpB","FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)",-0.405467589139394,6.03930637950766,0.216500416250213,0.497760487801075
"BW25113_0030","rihC","ribonucleoside hydrolase 3",-0.508112165009001,7.26127244373162,0.0120641947037297,0.0602838782702399
"BW25113_0032","carA","carbamoyl phosphate synthetase small subunit, glutamine amidotransferase",-0.632799110863823,6.9336772905891,0.00775087488297781,0.0416782298234198
"BW25113_0033","carB","carbamoyl-phosphate synthase large subunit",0.145736139813485,8.43990630927458,0.341264215978128,0.636420421805072
"BW25113_0034","caiF","cai operon transcriptional activator",0.183304309843132,7.77992955068274,0.305550352279873,0.601283825771638
"BW25113_0035","caiE","stimulator of CaiD and CaiB enzyme activities",-0.390358619376645,6.6695991695236,0.112926648482621,0.333086878895315
"BW25113_0036","caiD","carnitinyl-CoA dehydratase",0.258573525839792,7.53158560042693,0.173251270475192,0.436749183448717
"BW25113_0037","caiC","putative crotonobetaine/carnitine-CoA ligase",0.0264408418825831,8.54071546909182,0.851463564543655,0.948174470838479
"BW25113_0038","caiB","crotonobetainyl CoA:carnitine CoA transferase",-0.141104870258558,8.02384707202413,0.408135925602664,0.691695991509919
"BW25113_0039","caiA","crotonobetaine reductase subunit II, FAD-binding",-0.332814886089363,7.79051327740577,0.063896269545001,0.224841451181691
"BW25113_0040","caiT","putative transporter",-0.257770941483109,9.20616189497239,0.0357319897818633,0.142927959127453
"BW25113_0041","fixA","anaerobic carnitine reduction putative electron transfer flavoprotein subunit",-0.0580776029236392,7.80181168933883,0.74274437237623,0.900017910267333
"BW25113_0042","fixB","putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein",0.0778865053439242,7.4151829501737,0.688475852046275,0.875024047530951
"BW25113_0043","fixC","putative oxidoreductase",-0.360657062672571,7.02323798276677,0.100306535523493,0.307910430111271
"BW25113_0044","fixX","putative 4Fe-4S ferredoxin-type protein",0.224595431335958,5.92399698173029,0.532996221896068,0.778785641051954
"BW25113_0045","yaaU","putative transporter",-0.0417200389004249,7.94731615255396,0.831094541544712,0.939956896380632
"BW25113_0046","kefF","potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent",-0.178601486187642,7.2317204077719,0.37686970146073,0.670097898563145
"BW25113_0047","kefC","potassium:proton antiporter",-0.245544135324748,8.26699699639458,0.204473969376551,0.482563491845924
"BW25113_0049","apaH","diadenosine tetraphosphatase",-0.0879501675381222,6.00747721102475,0.800553823699086,0.925323737909556
"BW25113_0050","apaG","protein associated with Co2+ and Mg2+ efflux",0.0687621493853993,6.50703386421708,0.792902791621265,0.922582054958552
"BW25113_0051","rsmA","16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent",0.32174006807504,7.16932522962495,0.137935903837352,0.38136950318807
"BW25113_0052","pdxA","4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent",-0.508354927134346,2.54860532353539,0.527886018448018,0.774443559998589
"BW25113_0053","surA","peptidyl-prolyl cis-trans isomerase (PPIase)",0.131117665671604,5.03465251570292,0.802855166116872,0.926189597168375
"BW25113_0055","djlA","membrane-anchored DnaK co-chaperone, DNA-binding protein",-0.0122484813974714,8.30278262950636,0.939370270846717,0.986519129510773
"BW25113_4659","yabP","pseudogene",-0.24227327145562,11.5664658442684,0.0360549387495668,0.143926028409676
"BW25113_0058","rluA","dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent",-0.117721721191315,7.5521577689094,0.530948526453864,0.777205713344312
"BW25113_0059","rapA","RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase",-0.368249331629451,9.29015826994702,0.00968824329741158,0.050168974538776
"BW25113_0060","polB","DNA polymerase II",-0.0880598641685834,9.13891952298039,0.482443505140529,0.743925196287374
"BW25113_0061","araD","pseudogene",-0.432446141376129,7.18532629196596,0.0411650668426447,0.15969095737047
"BW25113_0064","araC","ara regulon transcriptional activator; autorepressor",-0.0457723176763,7.48788246320089,0.81120721818396,0.930191714048696
"BW25113_0065","yabI","DedA family inner membrane protein",0.068654837146365,7.12791774899125,0.75394264206482,0.904362043113248
