locus_tag	gene_name	ncrna	start	end	strand	read_count	ins_index	gene_length	ins_count	fcn
BW25113_0001	thrL	0	190	255	1	43	0.05	66	3	"thr operon leader peptide"
BW25113_0002	thrA	0	337	2799	1	848	0.0365358592692828	2463	81	"Bifunctional aspartokinase/homoserine dehydrogenase 1"
BW25113_0003	thrB	0	2801	3733	1	329	0.0452380952380952	933	38	"homoserine kinase"
BW25113_0004	thrC	0	3734	5020	1	518	0.0388265746333046	1287	45	"L-threonine synthase"
BW25113_0005	yaaX	0	5234	5530	1	78	0.0335820895522388	297	9	"DUF2502 family putative periplasmic protein"
BW25113_0006	yaaA	0	5683	6459	-1	266	0.0371428571428571	777	26	"peroxide resistance protein, lowers intracellular iron"
BW25113_0007	yaaJ	0	6529	7959	-1	543	0.0442546583850932	1431	57	"putative transporter"
BW25113_0008	talB	0	8238	9191	1	585	0.0710128055878929	954	61	"transaldolase B"
BW25113_0009	mog	0	9306	9893	1	265	0.0641509433962264	588	34	"molybdochelatase incorporating molybdenum into molybdopterin"
BW25113_0010	satP	0	9928	10494	-1	248	0.0567514677103718	567	29	"succinate-acetate transporter"
BW25113_0011	yaaW	0	10643	11356	-1	185	0.0279937791601866	714	18	"UPF0174 family protein"
BW25113_0013	yaaI	0	11382	11786	-1	163	0.0493150684931507	405	18	"UPF0412 family protein"
BW25113_0014	dnaK	0	12163	14079	1	48	0.00347624565469293	1917	6	"chaperone Hsp70, with co-chaperone DnaJ"
BW25113_0015	dnaJ	0	14168	15298	1	253	0.0343811394891945	1131	35	"chaperone Hsp40, DnaK co-chaperone"
BW25113_0016	insL1	0	15445	16557	1	0	0	1113	0	"IS186 transposase"
BW25113_0018	mokC	0	16751	16960	-1	333	0.132275132275132	210	25	"regulatory protein for HokC, overlaps CDS of hokC"
BW25113_4412	hokC	0	16751	16903	-1	123	0.0869565217391304	153	12	"toxic membrane protein, small"
BW25113_4413	sokC	0	16952	17006	1	111	0.1	55	5	
BW25113_0019	nhaA	0	17489	18655	1	157	0.0209324452901998	1167	22	"sodium-proton antiporter"
BW25113_0020	nhaR	0	18715	19620	1	354	0.0441176470588235	906	36	"transcriptional activator of nhaA"
BW25113_0021	insB1	0	19811	20314	-1	0	0	504	0	"IS1 transposase B"
BW25113_0022	insA	0	20233	20508	-1	0	0	276	0	"IS1 repressor TnpA"
BW25113_0023	rpsT	0	20815	21078	-1	0	0	264	0	"30S ribosomal subunit protein S20"
BW25113_0024	yaaY	0	21181	21399	1	41	0.0303030303030303	219	6	"uncharacterized protein"
BW25113_0025	ribF	0	21407	22348	1	4	0.00117924528301887	942	1	"bifunctional riboflavin kinase/FAD synthetase"
BW25113_0026	ileS	0	22391	25207	1	0	0	2817	0	"isoleucyl-tRNA synthetase"
BW25113_0027	lspA	0	25207	25701	1	0	0	495	0	"prolipoprotein signal peptidase (signal peptidase II)"
