"locus_tag","gene_name","function","logFC","logCPM","PValue","q.value"
"BW25113_0001","thrL","thr operon leader peptide",-0.262762728876336,4.92175124340293,0.356822555196752,0.550276224611628
"BW25113_0002","thrA","Bifunctional aspartokinase/homoserine dehydrogenase 1",-0.0333602843462202,9.13491574592871,0.00805536489903602,0.92848454321825
"BW25113_0003","thrB","homoserine kinase",0.210444694117643,7.65067541967695,0.28235558179162,0.595161425215411
"BW25113_0004","thrC","L-threonine synthase",0.119646434105565,8.14755690634477,0.103578340395906,0.747577022998059
"BW25113_0005","yaaX","DUF2502 family putative periplasmic protein",-0.176854202341858,5.78554517991288,0.199817728736739,0.654868010362261
"BW25113_0006","yaaA","peroxide resistance protein, lowers intracellular iron",-0.21624428822597,7.68518504536523,0.307246651990951,0.57937468479254
"BW25113_0007","yaaJ","putative transporter",-0.0771518510428757,8.40973993527783,0.0435675436814495,0.834660270837427
"BW25113_0008","talB","transaldolase B",-0.0794680400441516,8.55031648038772,0.0431171784831932,0.835504787923649
"BW25113_0009","mog","molybdochelatase incorporating molybdenum into molybdopterin",0.0626630891990609,7.46114314247573,0.0248644885575828,0.874705197455622
"BW25113_0010","satP","succinate-acetate transporter",-0.143686281160347,7.29209787915423,0.142403879625665,0.705902829844016
"BW25113_0011","yaaW","UPF0174 family protein",-0.307692746685759,7.11090070007733,0.655107891441818,0.418292372979408
"BW25113_0013","yaaI","UPF0412 family protein",-0.647937389687894,7.10911914637813,2.68776716274729,0.101121425238785
"BW25113_0014","dnaK","chaperone Hsp70, with co-chaperone DnaJ",-0.0153920341007184,4.40423426989462,0.000952023451258555,0.975385275496391
"BW25113_0015","dnaJ","chaperone Hsp40, DnaK co-chaperone",-0.711212245249199,7.81081041315037,3.420627674868,0.0643865282523037
"BW25113_0018","mokC","regulatory protein for HokC, overlaps CDS of hokC",-0.299405728529966,7.81001456294314,0.599927659124319,0.438605628732558
"BW25113_4412","hokC","toxic membrane protein, small",-0.520864583958002,6.25885419156688,1.500506306544,0.22059347482527
"BW25113_4413","sokC","",-0.417759496319153,6.24170289128108,0.965384167475808,0.325834058385865
"BW25113_0019","nhaA","sodium-proton antiporter",-0.568125092347824,7.0891918949968,1.77016391066335,0.183361795104715
"BW25113_0020","nhaR","transcriptional activator of nhaA",-0.404624532498582,8.05731200333594,1.12052946395359,0.28980447523107
"BW25113_0024","yaaY","uncharacterized protein",-0.687076989550423,5.30337783442539,2.41424217944648,0.120236143286689
"BW25113_0025","ribF","bifunctional riboflavin kinase/FAD synthetase",0.597120639120462,2.03602867532675,0.839910533324594,0.359422359585046
"BW25113_0028","fkpB","FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)",-0.305873407818658,6.09461126681819,0.467541815642516,0.494120227216672
"BW25113_0029","ispH","4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein",2.09914889694628,2.23361489817896,10.8642044814756,0.000980408563656345
