locus_tag	gene_name	ncrna	start	end	strand	read_count	ins_index	gene_length	ins_count	fcn
BW25113_0001	thrL	0	190	255	1	73	0.233333333333333	66	14	"thr operon leader peptide"
BW25113_0002	thrA	0	337	2799	1	1641	0.143437077131258	2463	318	"Bifunctional aspartokinase/homoserine dehydrogenase 1"
BW25113_0003	thrB	0	2801	3733	1	497	0.15	933	126	"homoserine kinase"
BW25113_0004	thrC	0	3734	5020	1	751	0.120793787748059	1287	140	"L-threonine synthase"
BW25113_0005	yaaX	0	5234	5530	1	167	0.167910447761194	297	45	"DUF2502 family putative periplasmic protein"
BW25113_0006	yaaA	0	5683	6459	-1	598	0.134285714285714	777	94	"peroxide resistance protein, lowers intracellular iron"
BW25113_0007	yaaJ	0	6529	7959	-1	966	0.136645962732919	1431	176	"putative transporter"
BW25113_0008	talB	0	8238	9191	1	989	0.171129220023283	954	147	"transaldolase B"
BW25113_0009	mog	0	9306	9893	1	459	0.162264150943396	588	86	"molybdochelatase incorporating molybdenum into molybdopterin"
BW25113_0010	satP	0	9928	10494	-1	435	0.136986301369863	567	70	"succinate-acetate transporter"
BW25113_0011	yaaW	0	10643	11356	-1	451	0.135303265940902	714	87	"UPF0174 family protein"
BW25113_0013	yaaI	0	11382	11786	-1	406	0.13972602739726	405	51	"UPF0412 family protein"
BW25113_0014	dnaK	0	12163	14079	1	45	0.00579374275782155	1917	10	"chaperone Hsp70, with co-chaperone DnaJ"
BW25113_0015	dnaJ	0	14168	15298	1	702	0.136542239685658	1131	139	"chaperone Hsp40, DnaK co-chaperone"
BW25113_0016	insL1	0	15445	16557	1	0	0	1113	0	"IS186 transposase"
BW25113_0018	mokC	0	16751	16960	-1	608	0.259259259259259	210	49	"regulatory protein for HokC, overlaps CDS of hokC"
BW25113_4412	hokC	0	16751	16903	-1	204	0.188405797101449	153	26	"toxic membrane protein, small"
BW25113_4413	sokC	0	16952	17006	1	183	0.2	55	10	
BW25113_0019	nhaA	0	17489	18655	1	360	0.0999048525214082	1167	105	"sodium-proton antiporter"
BW25113_0020	nhaR	0	18715	19620	1	778	0.165441176470588	906	135	"transcriptional activator of nhaA"
BW25113_0021	insB1	0	19811	20314	-1	0	0	504	0	"IS1 transposase B"
BW25113_0022	insA	0	20233	20508	-1	0	0	276	0	"IS1 repressor TnpA"
BW25113_0023	rpsT	0	20815	21078	-1	0	0	264	0	"30S ribosomal subunit protein S20"
BW25113_0024	yaaY	0	21181	21399	1	107	0.106060606060606	219	21	"uncharacterized protein"
BW25113_0025	ribF	0	21407	22348	1	6	0.00471698113207547	942	4	"bifunctional riboflavin kinase/FAD synthetase"
BW25113_0026	ileS	0	22391	25207	1	0	0	2817	0	"isoleucyl-tRNA synthetase"
BW25113_0027	lspA	0	25207	25701	1	1	0.00224215246636771	495	1	"prolipoprotein signal peptidase (signal peptidase II)"
BW25113_0028	fkpB	0	25826	26275	1	195	0.0888888888888889	450	36	"FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)"
